Delta_mean,Delta_max,Theta_mean,Theta_max,Alpha_mean,Alpha_max,Beta_mean,Beta_max,Gamma_mean,Gamma_max,Alpha_Peak_Hz,file_id,label
1.3837597622495446e-05,5.1752094872682933e-05,6.032759236652578e-06,1.5009203897597218e-05,1.4307763089423034e-05,6.674197093468021e-05,1.319037320595458e-05,4.828630752845775e-05,1.171283837400063e-06,4.833887371066095e-06,10.0,mh_2019_0001538,0
3.7467965852263774e-05,9.716081183782759e-05,2.777573014902041e-05,5.065242453602944e-05,2.132199713426727e-05,5.0224000672457606e-05,2.8751886617026632e-06,4.49233934864264e-06,6.774451243540387e-08,9.966427122671586e-08,8.0,mh_2019_0002037,0
1.4416831122968339e-05,4.64615001387555e-05,8.904888145554383e-06,2.4201872034777705e-05,1.1597581349671937e-05,3.076212979745986e-05,1.7823092267761766e-06,3.042296055316194e-06,4.459045230147646e-08,9.880117156281771e-08,9.0,mh_2019_0001240,0
5.804813938660412e-05,0.00044674988972717776,5.020703494692782e-05,0.0005856406699091674,9.714455625299808e-06,4.1071642987877575e-05,2.4012265401533825e-06,2.275464498077658e-05,6.794397295725138e-08,7.33169559682995e-07,8.0,mh_2024_0004207,0
4.738564122747447e-06,2.575585080338794e-05,6.6385004022791935e-06,1.7858198511799413e-05,1.7082822300236976e-05,9.293984642869886e-05,2.8412166796141485e-06,1.1049509287009428e-05,1.2902055693804707e-07,7.757440544333482e-07,9.5,mh_2024_0004269,0
3.296675807245907e-05,0.0001268096139346217,7.0563034969296115e-06,2.2135277489521128e-05,5.6001643153499114e-06,1.8203323070308443e-05,1.87216186077414e-06,3.4549736851062074e-06,7.965904081399182e-08,4.2380668989102613e-07,12.0,mh_2019_0000050,0
6.358888530778432e-05,0.0001517058027533636,2.8255810662310344e-05,5.864980923373554e-05,1.734748088358154e-05,4.210301819941924e-05,5.613167313059602e-06,8.524448423773776e-06,2.0888437027008323e-07,4.786847533060697e-07,9.0,mh_2019_0001354,0
8.054287585254742e-05,0.0002844378119829726,1.4434375985584048e-05,2.579951848726108e-05,8.324927003205387e-06,2.253630603830076e-05,3.3334138366123052e-06,5.825512573312291e-06,1.9283841799178122e-07,4.920277523504678e-07,9.5,mh_2024_0004142,0
0.00045587069794168474,0.0010868092032470717,8.274576868764044e-05,0.00027961390223358126,3.204739653919723e-05,0.00011041838455604942,2.1342025080695126e-05,6.111475533635721e-05,7.207215370232946e-07,2.304128577704685e-06,8.0,mh_2020_0000181,0
7.110493901180407e-05,0.00023905496442633677,2.755283061038926e-05,9.742792984226212e-05,5.994159917083058e-06,1.3397147883435946e-05,2.9443103254362093e-06,7.156242442813802e-06,9.341924896449644e-08,2.0622661201041534e-07,8.0,mh_2020_0000410,0
1.7026516174455998e-05,5.9424362887576514e-05,5.154323352465757e-06,1.6181240632277216e-05,1.9249638954687725e-05,8.339186571673799e-05,2.4725442249576118e-06,6.096158158064989e-06,5.9116810750443065e-08,9.00676263968047e-08,10.5,mh_2020_0000477,0
