file_id,duration,n_flat_channels,alpha_peak,SNR_proxy_delta
mh_2019_0001538,821.995,22,10.0,1.3837597622495446e-05
mh_2019_0002037,925.995,22,8.0,3.7467965852263774e-05
mh_2019_0001240,806.995,21,9.0,1.4416831122968339e-05
mh_2024_0004207,1271.995,22,8.0,5.804813938660412e-05
mh_2024_0004269,965.995,22,9.5,4.738564122747447e-06
mh_2019_0000050,715.995,22,12.0,3.296675807245907e-05
mh_2019_0001354,996.995,22,9.0,6.358888530778432e-05
mh_2024_0004142,1199.995,22,9.5,8.054287585254742e-05
mh_2020_0000181,911.995,21,8.0,0.00045587069794168474
mh_2020_0000410,1019.995,22,8.0,7.110493901180407e-05
mh_2020_0000477,1252.995,22,10.5,1.7026516174455998e-05
mh_2021_0000628,1646.995,22,11.0,1.9165509924124092e-05
mh_2020_0000440,1091.995,22,10.0,1.539661292599704e-05
mh_2019_0000550,1520.995,22,8.5,3.116602332064488e-05
mh_2020_0000501,779.995,22,8.0,6.915096418372054e-05
mh_2019_0001335,1001.995,22,9.5,5.157135312999746e-05
mh_2020_0000248,934.995,22,8.5,1.0522612913160795e-05
mh_2019_0000913,839.995,22,10.0,1.715775131005206e-05
mh_2019_0000235,707.995,22,9.5,1.820976190298667e-05
mh_2024_0004113,763.995,21,11.0,2.817243352236542e-05
mh_2020_0000110,1096.995,22,9.0,1.4841163383786673e-05
mh_2020_0000212,1418.995,22,8.5,2.8662116225467165e-05
mh_2019_0001965,899.995,22,8.5,3.1615924340242e-05
mh_2024_0003447,1051.995,21,8.0,0.0001327867587702806
mh_2020_0000550,926.995,22,13.0,1.0502587714776062e-05
mh_2020_0000067,665.995,22,10.0,9.20005712856803e-06
mh_2019_0000849,705.995,22,8.5,1.884493267839034e-05
mh_2019_0000855,711.995,22,8.0,3.1661488250048695e-05
mh_2024_0004367,1235.995,22,8.0,4.552916739495956e-05
mh_2019_0000902,676.995,22,8.0,0.00020397775636245914
mh_2019_0001058,687.995,22,8.5,9.434258461448666e-05
mh_2019_0002216,826.995,22,10.5,0.00021631319230843772
mh_2019_0001549,1059.995,22,8.0,8.125481567738892e-06
mh_2019_0001444,843.995,22,9.5,3.073867535247693e-05
mh_2019_0001196,899.995,22,8.0,8.894960421100259e-05
mh_2019_0000299,932.995,22,8.0,0.00065866264496702
mh_2020_0000632,1499.995,22,11.0,3.18003447071356e-05
mh_2020_0000199,722.995,21,10.0,2.971334960592746e-05
mh_2024_0003745,860.995,22,8.0,0.00016141823324537845
mh_2020_0000881,1139.995,22,9.0,8.193501890033684e-05
mh_2020_0000675,1800.995,22,11.5,0.00014217135288451137
mh_2019_0000101,748.995,22,10.5,5.7016806027340484e-05
mh_2019_0000571,659.995,21,8.0,1.559440671027708e-05
mh_2024_0003243,1241.995,22,8.0,0.0002580474924489891
mh_2019_0002044,719.995,22,8.0,2.595606496533336e-05
mh_2020_0000475,983.995,22,9.5,5.271610317629602e-06
mh_2020_0000239,767.995,22,10.0,4.226268997374605e-05
mh_2019_0001192,780.995,22,8.0,5.757553558278573e-05
mh_2021_0000353,1806.995,22,8.5,0.00010191523090904807
mh_2020_0001048,1800.995,22,10.5,0.00015028985759350398
mh_2020_0000303,987.995,22,9.5,6.620519243284205e-06
mh_2019_0002092,1012.995,22,8.5,7.353124529654752e-06
mh_2019_0002158,902.995,22,8.0,7.145488472062247e-05
mh_2019_0000724,684.995,22,10.5,1.9959700315782077e-05
mh_2018_0000038,933.995,22,10.5,6.274502346799911e-06
mh_2024_0003539,1045.995,22,9.5,7.94358765611198e-06
mh_2020_0000542,827.995,22,10.0,2.6386880120044008e-05
mh_2019_0001758,720.995,22,10.5,6.38439892094085e-05
mh_2024_0003816,1176.995,22,10.0,5.956966598117393e-05
mh_2019_0002413,1124.995,22,9.5,1.1241859274864727e-05
mh_2020_0001077,1800.995,22,8.0,5.524924696160405e-05
mh_2019_0001488,707.995,22,8.0,0.0001604883994266612
mh_2020_0000408,903.995,22,10.0,5.49816809658085e-06
mh_2019_0001995,809.995,22,9.5,4.327091560548261e-05
mh_2024_0003653,1025.995,22,9.5,1.836262590177565e-06
mh_2020_0000789,1199.995,22,8.5,0.0001501258671222591
mh_2024_0004416,900.995,22,9.0,0.0001804211592583857
mh_2020_0000081,829.995,22,10.0,4.4621372447442955e-05
mh_2019_0000765,677.995,22,10.0,8.628222052893116e-06
mh_2019_0002305,847.995,22,10.0,3.053046924037964e-05
mh_2022_0000294,1201.995,22,8.0,4.019529667249321e-05
mh_2019_0001651,719.995,22,8.5,5.662502921613924e-05
mh_2019_0000638,693.995,22,10.0,0.00014707884661769774
mh_2020_0001223,1505.995,22,10.0,5.0646654442995384e-05
mh_2024_0004328,1045.995,21,8.0,1.815466034953901e-05
mh_2019_0000021,671.995,22,10.0,1.8608534741362144e-05
mh_2019_0002355,1002.995,22,10.0,2.0162659587282e-05
mh_2020_0001178,1582.995,22,8.0,0.00036803219784628744
mh_2019_0002247,900.995,22,9.5,6.47714220044161e-06
mh_2019_0000414,675.995,22,9.5,3.4271097040650124e-05
mh_2019_0002397,966.995,22,10.0,5.40049472902128e-05
mh_2019_0000542,708.995,22,9.5,3.3818366106472294e-05
mh_2020_0000879,707.995,22,8.0,9.556078231193618e-06
mh_2019_0000018,762.995,22,8.0,7.501442998070493e-05
mh_2019_0001710,1019.995,22,8.5,2.477351327611162e-05
mh_2021_0000048,1560.995,22,10.5,0.00012968236757925793
mh_2019_0001988,929.995,22,9.0,3.100362833277149e-05
mh_2019_0000793,668.995,22,9.5,0.00011679803436581086
mh_2021_0000026,1806.995,22,10.5,0.00016297082050993774
mh_2022_0000261,1802.995,22,9.5,7.732790488707385e-05
mh_2024_0003630,712.995,21,8.5,0.00018980521029249853
mh_2021_0000661,1634.995,22,9.0,4.1529906991472285e-05
mh_2019_0000389,698.995,22,9.0,1.9502164431335437e-05
mh_2019_0000659,731.995,21,8.0,4.9629949313720964e-05
mh_2022_0000082,1199.995,20,9.0,0.00047328338735743976
mh_2019_0000198,799.995,13,8.0,0.0017261113923454704
mh_2019_0000056,707.995,22,10.0,2.6940488969631308e-05
mh_2020_0001129,1739.995,22,9.0,0.0003576227782901966
mh_2019_0001997,861.995,22,9.0,5.7884295202496864e-05
mh_2021_0000765,1205.995,21,8.0,0.00048411241851877197
mh_2020_0000011,1193.995,22,10.5,6.141053201087205e-05
mh_2019_0001544,1726.995,22,9.5,1.9966521265780897e-05
mh_2024_0004397,1128.995,22,10.0,8.12077127198668e-06
mh_2024_0004324,860.995,22,8.0,5.249644289623598e-05
mh_2020_0000066,1181.995,22,9.5,1.3819063884818618e-05
mh_2019_0000870,805.995,22,9.5,2.244031773047302e-05
mh_2020_0000491,1441.995,22,10.0,9.856576996427688e-06
mh_2020_0001098,1681.995,22,10.0,3.36662940053688e-05
mh_2022_0000283,1439.995,22,8.0,4.210580431279712e-05
mh_2019_0000145,725.995,22,9.5,1.819213387786211e-05
mh_2019_0001384,926.995,22,9.5,8.050532686878097e-06
mh_2019_0002366,959.995,22,9.5,1.2979148541497059e-05
mh_2020_0000485,1291.995,21,8.0,0.0002314787216889487
ffh_2024_0000209,1647.995,22,8.5,2.2685337108989907e-05
mh_2019_0002403,1094.995,22,8.5,0.0001180357830891838
mh_2024_0003960,1203.995,22,10.5,4.565447333448227e-05
mh_2020_0000286,670.995,22,8.5,1.8436125852506247e-05
mh_2024_0003812,1064.995,22,8.5,1.2609534812520307e-05
mh_2019_0001574,843.995,22,10.0,2.0665458204210217e-05
mh_2020_0000505,1031.995,22,8.5,3.7000021883058636e-05
mh_2022_0000197,1691.995,21,9.0,9.818639018858866e-05
mh_2024_0004214,994.995,22,9.0,6.713354911074501e-06
