split,file_id,path,sfreq,duration_min,n_channels,missing_expected,extra_channels,missing_list,extra_list
train,mh_2019_0001221,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001221.edf,200.0,10.199916666666667,22,0,0,,
train,mh_2019_0000256,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000256.edf,200.0,16.949916666666667,22,0,0,,
train,mh_2019_0002266,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002266.edf,200.0,12.88325,22,0,0,,
train,mh_2019_0001239,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001239.edf,200.0,14.73325,22,0,0,,
train,mh_2019_0001887,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001887.edf,200.0,15.78325,22,0,0,,
train,mh_2019_0000315,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000315.edf,200.0,8.066583333333334,22,0,0,,
train,mh_2020_0000020,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000020.edf,200.0,10.93325,22,0,0,,
train,mh_2020_0000919,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000919.edf,200.0,25.78325,22,0,0,,
train,mh_2018_0000069,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2018_0000069.edf,200.0,8.23325,22,0,0,,
train,mh_2019_0002632,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002632.edf,200.0,5.88325,22,0,0,,
train,mh_2019_0000558,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000558.edf,200.0,13.03325,22,0,0,,
train,mh_2019_0001535,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001535.edf,200.0,11.666583333333334,22,0,0,,
train,mh_2019_0002086,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002086.edf,200.0,15.43325,22,0,0,,
train,mh_2019_0000491,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000491.edf,200.0,10.999916666666667,22,0,0,,
train,mh_2019_0001598,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001598.edf,200.0,10.049916666666666,22,0,0,,
train,mh_2019_0001691,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001691.edf,200.0,9.166583333333334,22,0,0,,
train,mh_2020_0000437,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000437.edf,200.0,30.83325,22,0,0,,
train,mh_2019_0001290,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001290.edf,200.0,17.28325,22,0,0,,
train,mh_2019_0002351,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002351.edf,200.0,13.366583333333333,22,0,0,,
train,mh_2020_0000884,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000884.edf,200.0,30.03325,22,0,0,,
train,mh_2018_0000171,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2018_0000171.edf,200.0,6.5832500000000005,22,0,0,,
train,mh_2019_0002202,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002202.edf,200.0,16.88325,22,0,0,,
train,mh_2019_0001152,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001152.edf,200.0,9.999916666666667,22,0,0,,
train,mh_2021_0001098,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2021_0001098.edf,200.0,22.466583333333332,22,0,0,,
train,mh_2019_0001565,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001565.edf,200.0,10.199916666666667,22,0,0,,
train,mh_2019_0002057,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002057.edf,200.0,22.516583333333333,22,0,0,,
train,mh_2019_0002262,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002262.edf,200.0,15.049916666666666,22,0,0,,
train,mh_2019_0000552,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000552.edf,200.0,5.399916666666667,22,0,0,,
train,mh_2019_0000123,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000123.edf,200.0,9.33325,22,0,0,,
train,mh_2020_0001111,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0001111.edf,200.0,30.016583333333333,22,0,0,,
train,mh_2019_0002234,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002234.edf,200.0,14.999916666666667,22,0,0,,
train,mh_2020_0000635,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000635.edf,200.0,6.3332500000000005,22,0,0,,
train,mh_2019_0001902,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001902.edf,200.0,11.216583333333334,22,0,0,,
train,mh_2019_0000538,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000538.edf,200.0,7.03325,22,0,0,,
train,mh_2019_0000285,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000285.edf,200.0,8.149916666666666,22,0,0,,
train,mh_2019_0000248,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000248.edf,200.0,12.266583333333333,22,0,0,,
train,mh_2020_0000337,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000337.edf,200.0,9.766583333333333,22,0,0,,
train,mh_2019_0000916,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000916.edf,200.0,10.999916666666667,22,0,0,,
train,mh_2019_0002094,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002094.edf,200.0,17.03325,22,0,0,,
train,mh_2019_0001941,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001941.edf,200.0,10.13325,22,0,0,,
train,mh_2019_0000786,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000786.edf,200.0,11.03325,22,0,0,,
train,mh_2019_0000484,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000484.edf,200.0,9.566583333333334,22,0,0,,
train,mh_2020_0000573,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000573.edf,200.0,15.066583333333334,22,0,0,,
train,mh_2020_0000734,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000734.edf,200.0,30.016583333333333,22,0,0,,
train,mh_2020_0000908,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000908.edf,200.0,30.049916666666665,22,0,0,,
train,mh_2020_0000100,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000100.edf,200.0,15.13325,22,0,0,,
train,mh_2020_0000828,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000828.edf,200.0,29.999916666666664,22,0,0,,
train,mh_2019_0000041,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000041.edf,200.0,13.649916666666666,22,0,0,,
train,mh_2022_0000244,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2022_0000244.edf,200.0,10.43325,22,0,0,,
train,mh_2019_0002134,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002134.edf,200.0,13.266583333333333,22,0,0,,
train,mh_2019_0002293,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002293.edf,200.0,12.999916666666667,22,0,0,,
train,mh_2019_0000283,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000283.edf,200.0,11.616583333333333,22,0,0,,
train,mh_2019_0002369,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002369.edf,200.0,11.999916666666667,22,0,0,,
train,ffh_2024_0000054,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/ffh_2024_0000054.edf,200.0,25.733249999999998,22,0,0,,
train,mh_2018_0000095,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2018_0000095.edf,200.0,10.749916666666667,22,0,0,,
train,mh_2024_0003454,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2024_0003454.edf,200.0,17.399916666666666,22,0,0,,
train,mh_2020_0000627,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000627.edf,200.0,23.999916666666664,22,0,0,,
train,mh_2020_0000250,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000250.edf,200.0,16.049916666666668,22,0,0,,
train,mh_2020_0000864,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000864.edf,200.0,30.549916666666665,22,0,0,,
train,mh_2019_0000116,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000116.edf,200.0,8.63325,22,0,0,,
train,mh_2019_0001122,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001122.edf,200.0,8.566583333333334,22,0,0,,
train,mh_2019_0001658,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001658.edf,200.0,14.83325,22,0,0,,
train,mh_2020_0000638,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000638.edf,200.0,30.016583333333333,22,0,0,,
train,mh_2020_0000952,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000952.edf,200.0,25.049916666666665,22,0,0,,
train,mh_2019_0002236,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002236.edf,200.0,16.299916666666668,22,0,0,,
train,mh_2019_0000886,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000886.edf,200.0,11.599916666666667,22,0,0,,
train,mh_2021_0001152,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2021_0001152.edf,200.0,21.53325,22,0,0,,
train,mh_2019_0000108,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000108.edf,200.0,20.149916666666666,22,0,0,,
train,mh_2020_0000577,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000577.edf,200.0,14.599916666666667,22,0,0,,
train,mh_2019_0001364,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0001364.edf,200.0,18.149916666666666,22,0,0,,
train,mh_2019_0002008,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002008.edf,200.0,17.999916666666664,22,0,0,,
train,mh_2020_0001066,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0001066.edf,200.0,22.16658333333333,22,0,0,,
train,mh_2019_0002350,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0002350.edf,200.0,16.199916666666667,22,0,0,,
train,mh_2019_0000385,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000385.edf,200.0,13.016583333333333,22,0,0,,
train,mh_2019_0000264,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2019_0000264.edf,200.0,11.98325,22,0,0,,
train,mh_2020_0000222,/media/dll-1/SSD 4TB/EEG Datasets/nmt_4k_split/train/abnormal/mh_2020_0000222.edf,200.0,23.06658333333333,22,0,0,,
